Esp̬ce;Age;PropRepro;Class
Alca torda;0;0;Juv
Alca torda;1;0;Imm
Alca torda;2;0;Imm
Alca torda;3;0;Imm
Alca torda;>3;1;Adu
Chlidonias niger;0;0;Juv
Chlidonias niger;1;0;Imm
Chlidonias niger;>1;1;Adu
Chroicocephalus ridibundus;0;0;Juv
Chroicocephalus ridibundus;1;0;Imm
Chroicocephalus ridibundus;2;0.24;Sub
Chroicocephalus ridibundus;3;0.61;Sub
Chroicocephalus ridibundus;4;0.83;Sub
Chroicocephalus ridibundus;>4;1;Adu
Fratercula arctica;0;0;Juv
Fratercula arctica;1;0;Imm
Fratercula arctica;2;0;Imm
Fratercula arctica;3;0.01;Sub
Fratercula arctica;4;0.12;Sub
Fratercula arctica;5;0.35;Sub
Fratercula arctica;6;0.56;Sub
Fratercula arctica;>6;1;Adu
Fulmarus glacialis;0;0;Juv
Fulmarus glacialis;1;0;Imm
Fulmarus glacialis;2;0;Imm
Fulmarus glacialis;3;0;Imm
Fulmarus glacialis;4;0;Imm
Fulmarus glacialis;5;0.02;Sub
Fulmarus glacialis;6;0.09;Sub
Fulmarus glacialis;7;0.24;Sub
Fulmarus glacialis;8;0.38;Sub
Fulmarus glacialis;9;0.45;Sub
Fulmarus glacialis;10;0.57;Sub
Fulmarus glacialis;11;0.65;Sub
Fulmarus glacialis;12;0.76;Sub
Fulmarus glacialis;13;0.82;Sub
Fulmarus glacialis;14;0.87;Sub
Fulmarus glacialis;>14;1;Adu
Hydrobates pelagicus;0;0;Juv
Hydrobates pelagicus;1;0;Imm
Hydrobates pelagicus;2;0;Imm
Hydrobates pelagicus;3;0.11;Sub
Hydrobates pelagicus;4;0.92;Sub
Hydrobates pelagicus;>4;1;Adu
Ichthyaetus melanocephalus;0;0;Juv
Ichthyaetus melanocephalus;1;0;Imm
Ichthyaetus melanocephalus;>1;1;Adu
Larus argentatus;0;0;Juv
Larus argentatus;1;0;Imm
Larus argentatus;2;0;Imm
Larus argentatus;3;0;Imm
Larus argentatus;4;0.34;Sub
Larus argentatus;5;0.74;Sub
Larus argentatus;6;0.92;Sub
Larus argentatus;>6;1;Adu
Larus canus;0;0;Juv
Larus canus;1;0;Imm
Larus canus;2;0.08;Sub
Larus canus;3;0.59;Sub
Larus canus;>3;1;Adu
Larus fuscus;0;0;Juv
Larus fuscus;1;0;Imm
Larus fuscus;2;0;Imm
Larus fuscus;3;0;Imm
Larus fuscus;>3;1;Adu
Larus marinus;0;0;Juv
Larus marinus;1;0;Imm
Larus marinus;2;0;Imm
Larus marinus;3;0;Imm
Larus marinus;>3;1;Adu
Larus michahellis;0;0;Juv
Larus michahellis;1;0;Imm
Larus michahellis;2;0;Imm
Larus michahellis;>2;1;Adu
Morus bassanus;0;0;Juv
Morus bassanus;1;0;Imm
Morus bassanus;2;0;Imm
Morus bassanus;>2;1;Adu
Phalacrocorax aristotelis;0;0;Juv
Phalacrocorax aristotelis;1;0;Imm
Phalacrocorax aristotelis;2;0.47;Sub
Phalacrocorax aristotelis;>2;1;Adu
Phalacrocorax carbo;0;0;Juv
Phalacrocorax carbo;1;0;Imm
Phalacrocorax carbo;2;0.35;Sub
Phalacrocorax carbo;3;0.62;Sub
Phalacrocorax carbo;4;0.78;Sub
Phalacrocorax carbo;5;0.87;Sub
Phalacrocorax carbo;>5;1;Adu
Puffinus mauretanicus;0;0;Juv
Puffinus mauretanicus;1;0;Imm
Puffinus mauretanicus;2;0;Imm
Puffinus mauretanicus;3;0.03;Sub
Puffinus mauretanicus;4;0.27;Sub
Puffinus mauretanicus;5;0.7;Sub
Puffinus mauretanicus;>5;1;Adu
Puffinus puffinus;0;0;Juv
Puffinus puffinus;1;0;Imm
Puffinus puffinus;2;0;Imm
Puffinus puffinus;3;0;Imm
Puffinus puffinus;4;0;Imm
Puffinus puffinus;>4;1;Adu
Rissa tridactyla;0;0;Juv
Rissa tridactyla;1;0;Imm
Rissa tridactyla;2;0;Imm
Rissa tridactyla;3;0.23;Sub
Rissa tridactyla;4;0.63;Sub
Rissa tridactyla;5;0.85;Sub
Rissa tridactyla;6;0.94;Sub
Rissa tridactyla;7;0.99;Sub
Rissa tridactyla;>7;1;Adu
Sterna dougallii;0;0;Juv
Sterna dougallii;1;0;Imm
Sterna dougallii;2;0.01;Sub
Sterna dougallii;3;0.51;Sub
Sterna dougallii;4;0.62;Sub
Sterna dougallii;5;0.91;Sub
Sterna dougallii;>5;1;Adu
Sterna hirundo;0;0;Juv
Sterna hirundo;1;0;Imm
Sterna hirundo;2;0.06;Sub
Sterna hirundo;3;0.63;Sub
Sterna hirundo;4;0.89;Sub
Sterna hirundo;5;0.98;Sub
Sterna hirundo;>5;1;Adu
Thalasseus sandvicensis;0;0;Juv
Thalasseus sandvicensis;1;0;Imm
Thalasseus sandvicensis;2;0;Imm
Thalasseus sandvicensis;3;0.01;Sub
Thalasseus sandvicensis;4;0.19;Sub
Thalasseus sandvicensis;5;0.43;Sub
Thalasseus sandvicensis;6;0.55;Sub
Thalasseus sandvicensis;7;0.66;Sub
Thalasseus sandvicensis;8;0.79;Sub
Thalasseus sandvicensis;>8;1;Adu
Uria aalge;0;0;Juv
Uria aalge;1;0;Imm
Uria aalge;2;0;Imm
Uria aalge;3;0;Imm
Uria aalge;4;0.04;Sub
Uria aalge;5;0.31;Sub
Uria aalge;6;0.62;Sub
Uria aalge;7;0.94;Sub
Uria aalge;>7;1;Adu
